Source SharePoint URL,Target Drive FolderID,Target GUser
https://6s41br.sharepoint.com/sites/MSFT,0AI8bfrB8CFMiUk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/MSFT94,0AOq6fTOse6z2Uk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/MSFT470,0APuET0IV7uQqUk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/allcompany,0APCxoqOhvaitUk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/MSFT767,0AKHs5FocTMoqUk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/DigitalInitiativePublicRelations,0AKJbSgT_S7BQUk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/Mark8ProjectTeam,0ADEQCbbmBTWjUk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/Retail,0AH-zXUalRqlLUk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/SalesandMarketing,0ADy9WDbZoRSzUk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/U.S.Sales,0ALsYXsBR628TUk9PVA,gayan@oneiam.info
https://6s41br.sharepoint.com/sites/myteams,0AElRiaYsguTNUk9PVA,gayan@oneiam.info
